Company Name,Registration Number,Legal Name,Country,Website,Sector,Source,Description
Rockar Tech,07890499,ROCKAR LIMITED,UK,,Software,Maven Portfolio,"Rockar Tech (registered as ROCKAR LIMITED, CH 07890499). Maven Capital Partners portfolio company. SIC: 45111 Sale of new cars and light motor vehicles | 82110 Combined office administrative services"
Bright Network,06386360,BRIGHT NETWORK (UK) LIMITED,UK,https://www.brightnetwork.co.uk,Software,Maven Portfolio,"Bright Network (registered as BRIGHT NETWORK (UK) LIMITED, CH 06386360). Maven Capital Partners portfolio company. SIC: 62012 Software development | 78109 Employment placement agencies"
Summize,11421457,SUMMIZE LIMITED,UK,https://www.summize.com,Software,Maven Portfolio,"Summize (registered as SUMMIZE LIMITED, CH 11421457). Maven Capital Partners portfolio company. SIC: 58290 Other software publishing | 62090 Other IT services"
Hive HR,11358977,HIVE HR SOLUTIONS LTD,UK,,Software,Maven Portfolio,"Hive HR (registered as HIVE HR SOLUTIONS LTD, CH 11358977). Maven Capital Partners portfolio company. SIC: 78300 Human resources provision"
Filtered Technologies,06888906,FILTERED TECHNOLOGIES LIMITED,UK,,Software,Maven Portfolio,"Filtered Technologies (registered as FILTERED TECHNOLOGIES LIMITED, CH 06888906). Maven Capital Partners portfolio company. SIC: 85600 Educational support services"
Relative Insight,06236082,RELATIVE INSIGHT LIMITED,UK,,Software,Maven Portfolio,"Relative Insight (registered as RELATIVE INSIGHT LIMITED, CH 06236082). Maven Capital Partners portfolio company. SIC: 62012 Software development | 62020 IT consultancy"
Coniq,06269999,CODILINK UK LTD,UK,https://coniq.com,Software,Maven Portfolio,"Coniq (registered as CODILINK UK LTD, CH 06269999). Maven Capital Partners portfolio company. SIC: 62012 Software development | 73200 Market research"
Precursive,07481246,PRECURSIVE LTD,UK,,Software,Maven Portfolio,"Precursive (registered as PRECURSIVE LTD, CH 07481246). Maven Capital Partners portfolio company. SIC: 62012 Software development | 71122 Engineering related"
DiffusionData,06034919,DIFFUSIONDATA LIMITED,UK,,Software,Maven Portfolio,"DiffusionData (registered as DIFFUSIONDATA LIMITED, CH 06034919). Maven Capital Partners portfolio company. SIC: 62012 Software development | 62020 IT consultancy"
Optimize,11625074,THE ALGORITHM PEOPLE LIMITED,UK,,Software,Maven Portfolio,"Optimize (registered as THE ALGORITHM PEOPLE LIMITED, CH 11625074). Maven Capital Partners portfolio company. SIC: 62020 IT consultancy"
Hublsoft,11869832,HUBLSOFT LIMITED,UK,,Software,Maven Portfolio,"Hublsoft (registered as HUBLSOFT LIMITED, CH 11869832). Maven Capital Partners portfolio company. SIC: 58290 Other software publishing"
MirrorWeb,08072284,MIRRORWEB LIMITED,UK,https://www.mirrorweb.com,Software,Maven Portfolio,"MirrorWeb (registered as MIRRORWEB LIMITED, CH 08072284). Maven Capital Partners portfolio company. SIC: 62090 Other IT services"
RevLifter,10823883,REVLIFTER LTD,UK,,Software,Maven Portfolio,"RevLifter (registered as REVLIFTER LTD, CH 10823883). Maven Capital Partners portfolio company. SIC: 82990 Other business support services"
iAM Compliant,08087062,IAM COMPLIANT LIMITED,UK,,Software,Maven Portfolio,"iAM Compliant (registered as IAM COMPLIANT LIMITED, CH 08087062). Maven Capital Partners portfolio company. SIC: 70229 Management consultancy"
Automated Analytics,08803824,AUTOMATED ANALYTICS LIMITED,UK,,Software,Maven Portfolio,"Automated Analytics (registered as AUTOMATED ANALYTICS LIMITED, CH 08803824). Maven Capital Partners portfolio company. SIC: 82990 Other business support services"
Liftango,SC706481,LIFTANGO GROUP LIMITED,UK,,Software,Maven Portfolio,"Liftango (registered as LIFTANGO GROUP LIMITED, CH SC706481). Maven Capital Partners portfolio company. SIC: 62012 Software development | 62020 IT consultancy"
Zinc Systems,05235293,ZINC DIGITAL BUSINESS SOLUTIONS LIMITED,UK,https://www.zinc.systems,Software,Maven Portfolio,"Zinc Systems (registered as ZINC DIGITAL BUSINESS SOLUTIONS LIMITED, CH 05235293). Maven Capital Partners portfolio company. SIC: 62090 Other IT services"
